COUNTRY,QRID,weight,QMLangRec,Q2,Q3rec_1,Q3rec_2,Q3rec_3,Q3rec_4,Q3rec_5,Q3rec_6,Q3rec_7,Q3rec_98,Q3rec_99,Q4,Q5,Q6a,Q6b,Q6c,Q6d,Q6e,Q7,Q9,ABORT,Q10,Q11ya,Q11yb,Q11yc,Q11yd,Q11ye,Q11yf,Q11yg,Q11yh,Q11yi,Q11yj,Q12,Q13,Q14a,Q14b,Q14c,Q14d,Q15,Q17a,Q17b,Q18a,Q18b,Q18c,Q18d,Q18e,Q18f,Q19a,Q19b,QW21a,QW21b,QM21a,QM21b,Q22a,Q22b,Q22c,Q23a,Q23b,Q24,Q26,QRELSING,QCASTE,QCASTEb,QHINDU,QSECTrec,QDENOMrec,QSIKHrec,QBUDDHISTrec,QJAIN,QSUFIrec,Q28rec,Q29a,Q29b,q29cdrec,Q29e,Q29f,Q29g,Q29h,Q30a,Q30b,Q30c,q30derec,Q30f,Q30g,Q30h,Q30i,Q30j,Q30k,Q30l,Q3132rec,Q33a,Q33b,Q33c,Q33d,Q33e,Q33f,Q34a,Q34b,Q35,Q36a,Q36b,Q36c,Q37a,Q37b,Q37c,Q37d,Q37e,Q37f,Q37g,Q37h,Q37i,Q38,Q39a,Q39b,Q39c,Q40,QCHRELrec,Q42,Q43a,Q43b,Q43c,Q44rec_1,Q44rec_2,Q44rec_3,Q44rec_4,Q44rec_5,Q44rec_6,Q44rec_7,Q44rec_8,Q44rec_9,Q44rec_10,Q44rec_11,Q44rec_12,Q44rec_13,Q44rec_14,Q44rec_15,Q44rec_16,Q44rec_17,Q44rec_18,Q44rec_98,Q44rec_99,Q45a,Q45b,Q45c,Q46a,Q46b,Q47a,Q47b,Q47c,Q48a,Q48b,Q48c,Q48d,Q48e,Q48f,Q49a,Q49b,Q49c,Q49d,Q49e,Q49f,Q49g,Q49h,Q49i,Q49j,Q49k,Q49l,Q49m,Q49n,Q49o,Q50,Q51,Q52,Q53a,Q53b,Q54a,Q54b,Q55a,Q55b,Q55c,Q55d,Q56a,Q56b,Q56c,Q56d,Q57a,Q57b,Q57c,Q58xa,Q58xb,Q60,QGEN,QDIV,Q61a,Q61b,Q62a,Q62b,Q62c,Q62d,Q62e,Q62f,Q63a,Q63b,Q63c,Q63d,Q63e,Q63f,Q63g,Q65,Q66a,Q66b,Q66c,Q67a,Q67b,Q67c,Q68,Q69a,Q69b,Q69c,Q69d,Q69e,Q69f,Q69g,Q69h,Q69i,Q69j,Q70,Q72a,Q72b,Q72c,Q72d,Q72e,Q72f,Q72g,Q72h,Q72i,Q73a,q73abrec,QAGErec,QFERTrec,QCHGENabrec,QHH1,QHH2,QMARRIEDrec,QSPRELrec,QCHSPRELrec,QHHCH,QCHILDrec,Q74a,Q74b,Q74c,Q74d,Q75,Q76,Q77arec,QEDU,ISCED,QINCINDrec,QINT,QMOBILE,Q78,Q79,Q81,Q82a,Q82b,Q82c,Q82d,QPOVa,QPOVb,QPOVc,Q83,QPTYrec,QPTY2a,QPTY2b,Q85,q85arec,Q86a,Q86b_1,Q86b_2,Q86b_3,Q86b_4,Q86b_5,Q86b_6,Q86b_7,Q86b_8,Q86b_9,Q86b_10,Q86b_11,Q86b_12,Q86b_13,Q86b_14,Q86b_15,Q86b_16,Q86b_17,Q86b_18,Q86b_19,Q86b_20,Q86b_21,Q86b_97,Q86b_98,Q86b_99,Q87,QIV7,REGION,Urban
1,6917,.229824133191808,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,1,1,1,1,1,2,4,4,4,4,1,1,1,2,3,3,3,3,3,3,1,2,3,3,5,2, , , , , ,98, ,98,3,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,7,2,2,2,2, ,2,1,6,1,1,2,2,1,1,1,1,1,1,1,2,1,2,5,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2, ,2, , ,1,1,2,2,1,1,1,2,7,2, ,2, ,1,1, , ,1,1,1,1,1,1,3,2,1,1,1,1,2,2,2,2, ,2,1,1,1,1, ,1, ,1,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,2, , , ,2,2, , , , , ,4,3,2,4,2,1,1,1,1,1,2,1,1,1, ,1,24,9,5,2,1,1,1,1,1,2,2,2,2,1,2,2,2,24,3,1,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,2
1,6918,.331770366211179,2,1,1,1,2,1,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,1,1,1,1,1,4,4,4,4,2,1,1,1,1,1,1,3,3,3,1,1,3,3,1,1,2,3, , , , , ,98,4,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, ,1,1, ,2,2,2,2,2,6,6,1,1,2,2,1,1,1,1,1,1,1,1,1,2,6,6,1,2,1,1,1,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2, , ,2,2,2,2,2,2,6,1,2,4,2,2, ,1,1, , ,2,1,1,1,1,1,1,3,3,2,1,1,2,4, ,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,2,1, , , , , ,2,3,2,4,2,1,1,1,1,1,3,3,3,1, ,1,1,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,2,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,2
1,6919,.548503835395794,2,6,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,3,3,3,1,1,3,3,1,4, ,98, , , , , ,1,6,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, ,1,1, ,2,2,2,2,2,7,7,1,1,2,98,1,1,1,1,1,1,1,1,1,2,7,7,2,2,1,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2, , ,2,2,1,2,2,2,6,1,2,4,2,2, ,2, ,1,1, , ,1,1,2,2,1,3,3,98,1,3,2,3, ,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,2,1, , , , , ,3,3,2,4,2,1,1,1,1,1,1,1,2,2, ,1,1,9,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6920,.35188018598641,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,3,3,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,4,3,4,4,4,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,3,3,3,2,1,3,3,1,1,97,1, , , , , ,2,3,1,2,2,4,1,1,1,1,1,1,1,2, ,1,1,1, ,2,2, ,2,1,1,1,2,7,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2, , ,2,2,1,2,2,2,5,1,1,2,3,2, ,2, ,1,1, , ,1,1,4,2,2,3,3,2,1,1,3,4, ,2,1,1,2,1, ,1,1,1,1,1,1,2,2,2,2,1,1,1,2,4,3,1,1,2,2,2,1,4,3,1,2, , , ,2,1, , , , , ,4,3,2,4,2,1,1,1,1,1,1,1,1,2, ,2,2,9,5,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,1
1,6921,.570745857796148,2,1,1,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,4,1,1,1,4,3,4,4,3,1,1,1,1,1,1,3,2,3,1,1,3,2,1,3, ,98, , , , , ,98,4,1,1,1,1,1,1,1,1,1,1,1,1, ,2,1,1, ,2,3, ,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,3,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2, , ,1,2,1,2,2,1,6,1,2,2,4,2, ,1,2, , ,2,2,1,1,1,1,1,3,3,2,2,2,2,2, ,2,2,2,2,2, ,1,1,1,1,1, ,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , ,1, ,2,3,1,4,2,1,1,1,1,1,1,1,3,3, ,1,1,9,5,1,2,1,2,2,2, , , , ,2,2,2,1,1,1,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,1
1,6922,.702725820492218,2,1,1,2,2,1,1,2,2,2,2,1,98,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,4,3,2,4,4,1,4,1,1,1,3,4,3,4,4,3,1,4,4,4,4,3,3,3,4,3,3,2,1,1,1,98, , , , , ,99,1,1,1,1,1,2,1,1,1,1,1,1,1, ,2,1,1, ,98,3, ,2,2,2,2,2,6,7,2,2,2,2,1,2,1,1,1,2,1,2,1,2,6,2,1,98,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1,1,1,98,2,1,1,2,1,2,2,2,2,2,2,2, , ,2,2,1,2,2,2,7,1,2,2,7,2, ,2, ,2,2, , ,1,1,3,4,4,3,3,2,2,3,2,2, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,4,1,4,1,1,3,3,1,1,1,4,2,2,2, , , , , , , ,2, ,3,3,1,4,2,1,1,1,2, , , , , , ,2,995,9,5,2,1,1,1,1,1,2,2,1,2,2,2,2,2,99,98,98,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,1
1,6923,.295430747296204,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,2,1,4,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,3,1,3,1,3,3,1,4, ,98, , , , , ,98,8,1,1,1,1,1,1,1,2,2,2,2,98, ,2,2,2, ,2,6, ,2,2,2,2,2,6,7,1,1,2,2,1,1,1,1,2,2,2,2,1,2,6,6,1,1,1,1,1,3,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2, , ,2,2,1,2,2,2,7,1,3,2,6,2, ,2, ,1,1, , ,1,1,1,1,1,1,1,2,1,1,2,4, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,2,2,3,4,1,2,2,1,2,2,2,2,2,2, , , ,2,2, , , , , ,4,3,2,4,2,1,1,1,1,1,1,2,2,2, ,2,24,9,5,2,1,2, , ,1,1,1,1,1,2,2,2,2,24,4,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,1
1,6924,.398708480954531,1,1,2,2,2,1,2,2,2,2,2,3,1,1,1,1,1,1,5,2,4,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,98,2,4,1,1,1,4,3,4,4,4,1,1,1,1,1,1,3,1,3,2,3,3,3,1,1,1,98, , , , , ,98,6,1,1,1,1,1,1,1,2,2,2,97,2, ,1,2,2, ,1,2, ,2,2,2,2,2,5,6,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2, , ,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1, , ,1,98,1,2,2,1,1,1,2,1,3,3, ,1,2, , ,2,2,2,2,1,1,1,3,3,1,1,1,3,3, ,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,2,1,5,1,2,3,3,1,1,2,1,2,2,2,4,2,1, , , ,1,2, , , , , ,2,3,2,4,2,1,1,1,1,1,3,3,3,3, ,2,995,9,5,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,1
1,6925,.337507207302467,1,3,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,1,3,3,1,1,3,3,3,3,3,1,1,3,3,4,4,1,3,2,1,2,3,3,1,4, ,5, , , , , ,2,3,1,1,1,1,1,1,1,2,2,2,2,2, ,2,2,2, ,2,3, ,2,2,2,2,2,4,6,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2, , ,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1, , ,1,1,1,1,1,1,3,1,1,2,2,2, ,1,1, , ,2,2,2,1,1,1,1,3,1,2,2,1,2,2, ,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1, , , , , , , ,1, ,2,3,2,4,2,1,1,1,1,1,1,1,1,2, ,2,2,9,5,2,1,1,1,1,2, , , , ,2,2,2,3,2,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,1
1,6926,.311457459368578,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,3,3,3,1,1,3,3,5,2, , , , , ,98, ,98,3,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,6,2,2,2,2, ,2,1,7,1,2,1,2,1,1,1,1,2,1,1,2,1,2,6,7,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, , ,1,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2, ,2, , ,2,2,2,2,6,2,1,2,2,2, ,2, ,1,1, , ,2,1,1,1,1,3,1,2,1,1,2,1,2,2,2,2, ,2,1,1,1,1, ,1, ,1,2,1,2,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,2, , , ,2,2, , , , , ,3,3,2,4,2,1,1,1,2, , , , , , ,1,1,9,5,2,1,1,1,1,1,2,1,1,1,2,2,2,1,25,1,3,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6927,.32150881901884,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,98,2,2,2,2,2,2,2,2,1,1,2,3,3,1,1,1,1,1,3,3,2,2,3,1,1,1,1,1,1,3,3,3,1,1,3,1,1,2, ,5, , , , , ,2,3,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,2, ,2,2, ,2,2,2,2,2,7,7,1,1,1,1,1,2,1,1,1,1,1,2,1,2,7,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2, , ,2,2,1,2,2,1,7,1,1,2,4,3, ,2, ,2,2, , ,2,1,1,1,1,3,3,2,1,1,2,1, ,2,2,2,2,2, ,2,1,2,3,1, ,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, , , ,2,2, , , , , ,2,3,2,4,2,1,1,1,1,1,2,2,2,2, ,2,995,9,5,2,1,1,1,1,1,2,2,1,1,1,1,2,2,99,1,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6928,.408669842642789,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,5,1,4,1,2,2,2,2,2,2,2,2,2,2,4,1,4,4,4,1,3,1,1,1,3,4,4,4,4,1,1,4,4,4,4,1,1,1,2,3,3,3,1,1,97,5, , , , , ,98,4,1,1,1,1,1,1,1,1,1,1,1,2, ,1,2,2, ,2,1, ,2,2,2,2,2,1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1, , ,2,2,2,2,2,1,5,1,1,2,2,2, ,2, ,1,1, , ,1,1,1,1,1,3,3,2,1,1,2,3, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2, , , ,2,1, , , , , ,2,3,2,4,2,1,1,1,1,1,1,1,3,3, ,2,995,9,5,1,1,1,1,1,1,1,2,1,1,2,2,2,3,99,1,1,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,2
1,6929,.643547604910286,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,3,1,5,1,1,1,2,2,2,2,2,2,2,2,2,1,4,1,4,4,3,1,4,1,1,2,4,4,4,4,4,1,1,1,1,1,1,3,3,3,2,2,3,3,1,1,97,98, , , , , ,98,2,1,1,1,1,1,1,1,2,1,1,1,2, ,2,1,98, ,2,4, ,2,2,2,2,2,7,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,6,6,1,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, , ,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2, , ,1,2,2,2,2,98,7,1,2,2,6,6, ,2, ,1,1, , ,1,1,1,1,1,1,1,2,1,3,2,3, ,2,2,2,2,2, ,1,1,1,1,1,1,98,2,2,2,1,1,1,98,1,1,1,1,1,1,1,1,1,1,1,2, , , ,2,2, , , , , ,2,3,1,4,2,1,1,1,1,1,2,2,2,2, ,2,999,9,5,1,1,1,1,1,1,2,1,1,1,2,2,2,1,99,99,99,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6930,.164723157438487,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,1,2,4,2,1,3,1,1,2,4,4,4,98,2,1,1,4,3,4,4,1,2,3,3,3,3,3,5,2, , , , , ,4, ,98,1,2,4,3,1,1,1,1,1,1,1,1,2, ,1,2,2,2,2,5,2,2,2,2, ,2,7,1,1,1,2,2,2,2,2,2,2,2,2,2,99,2,7,7,1,2,1,2,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,1,2,2,2,2,2,2,2, ,2, , ,2,2,2,2,7,1,2,7,7,6, ,2, ,1,1, , ,2,2,2,3,3,3,3,2,1,2,2,3,2,2,2,2, ,2,1,1,1,1, ,1, ,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2, , , ,2,2, , , , , ,3,3,2,4,2,1,1,1,1,1,1,1,2,2, ,2,995,9,5,2,1,1,1,1,1,1,1,1,1,2,2,2,1,99,99,99,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,2
1,6931,.164723157438487,2,1,1,1,2,1,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,4,3,4,4,4,1,4,1,1,2,4,4,4,4,1,4,1,4,4,4,4,3,3,3,4,4,3,3,5,2, , , , , ,4, ,98,2,1,2,1,1,1,4,1,1,1,2,2,1, ,2,1,1,1,2,1,1,2,2,2, ,2,1,7,2,1,2,2,1,1,1,1,1,1,2,1,2,2,7,7,1,2,1,2,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,1,1,1,1,1,1,2,2,2,2,2,2,2, ,1, , ,1,2,2,2,3,2,2,7,7,2, ,1,1, , ,1,1,1,1,4,2,1,1,3,2,1,3,2,2,1,2,2,2, ,2,1,2,2,2, ,2, ,2,2,2,2,1,1,1,1,4,4,1,1,1,1,1,1,1,2,1,2, , , ,2,2, , , , , ,2,3,2,4,2,1,1,1,1,1,3,3,3,3, ,2,1,9,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,2
1,6932,.695724332288872,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,1,1,1,1,1,4,4,4,4,4,1,1,2,3,2,2,3,1,3,1,1,3,3,1,1,97,98, , , , , ,1,4,1,1,1,1,1,1,1,2,1,1,1,1, ,2,1,1, ,2,1, ,2,2,2,2,2,3,7,1,1,1,2,1,2,1,1,98,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2, , ,2,2,2,2,2,2,5,1,1,2,2,2, ,1,1, , ,2,2,2,2,1,1,1,3,3,2,2,2,3,1, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , ,2, ,2,3,2,4,2,1,1,1,1,1,1,1,2,2, ,1,24,9,5,1,1,1,1,1,1,2,2,1,2,2,2,2,1,24,3,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,1
1,6933,.777227482305433,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,3,1,1,1,1,4,4,4,4,2,1,1,3,3,3,3,3,3,3,1,1,3,3,1,4, ,5, , , , , ,1,4,1,2,2,1,1,1,1,2,1,1,1,2, ,2,2,1, ,2,6, ,2,2,2,2,2,6,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,6,4,1,1,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, , ,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,7,1,1,5,6,6, ,2, ,2,2, , ,2,2,1,1,1,3,3,2,1,2,2,1, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2, , , ,2,2, , , , , ,3,3,2,4,2,1,1,1,1,1,1,2,2,2, ,1,24,9,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,24,3,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6934,.455614091123913,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,2,1,1,1,2,2,2,4,4,1,2,1,1,1,4,4,4,4,2,1,1,1,1,1,1,3,3,3,4,3,3,3,1,3, ,98, , , , , ,2,3,1,1,1,2,1,1,1,1,1,1,1,2, ,1,2,2, ,97,3, ,2,2,2,2,2,6,7,1,2,1,2,1,1,1,2,1,2,1,1,1,2,6,6,1,2,1,1,1,1,3,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2, , ,2,2,2,2,1,1,6,1,2,2,5,6, ,2, ,1,1, , ,1,1,1,1,1,3,3,1,2,2,3,2, ,2,2,2,2,2, ,1,1,1,1,1, ,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1, , , , , , , ,2, ,3,3,1,4,2,1,1,1,1,1,1,1,2,2, ,2,1,9,5,1,1,1,1,1,1,2,1,1,2,2,2,2,3,1,1,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,2
1,6935,.386643446659782,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,1,1,1,1,1,3,3,3,3,3,1,1,2,1,1,1,3,3,3,2,2,3,3,1,1,97,98, , , , , ,98,6,1,2,2,2,1,1,1,98,1,2,2,98, ,2,98,98, ,98,2, ,2,2,2,2,2,2,7,1,1,2,2,1,1,1,2,2,2,2,1,1,1,4,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,98, , ,1,1,1,2,2,1,1,98,2,2,98,98,2,2,2,2, , ,2,2,2,2,2,2,7,1,3,2,3,2, ,2, ,1,1, , ,2,2,2,2,2,3,3,2,1,3,4,4, ,2,2,2,2,2, ,3,3,98,98,98,98,2,2,2,2,1,1,1,98,2,2,2,1,2,1,2,2,3,1,2,2, , , ,2,2, , , , , ,3,3,1,4,2,1,1,1,2, , , , , , ,2,1,9,5,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,2
1,6936,.254344250156472,2,7, , , , , , , , , ,2,1,1,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,2,2,3,2,5,2, , , , , ,4, ,98,1,1,2,2,1,2,2,1,2,2,2,2,2, ,2,2,2,2,2,3,2,2,1,2, ,2,1,7,2,1,1,2,2,1,2,2,2,2,2,2,2,2,6,1,3,98,1,2,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2, , ,2,2,2,2,5,1,98,7,7,7, ,2, ,1,1, , ,2,2,1,2,2,3,3,2,2,98,3,4,2,2,2,2, ,2,1,3,1,2, ,2, ,98,2,2,2,1,1,2,2,2,3,2,2,2,3,3,2,2,2,2,1,2, , , , , , , ,2, ,3,3,2,4,2,1,1,2,2, , , , , , ,2,2,9,5,2,2,1,2,2,2, , , , ,2,2,2,1,2,98,98,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,2
1,6937,.426862353294169,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,1,1,1,1,1,3,4,4,4,2,1,1,3,3,3,3,3,3,3,1,1,99,3,1,5, ,3, , , , , ,98,4,2,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, ,1,1, ,2,2,2,2,2,6,7,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2, , ,2,2,1,2,2,2,1,1,2,2,4,2, ,2, ,1,1, , ,1,99,1,1,1,3,3,2,2,3,2,3, ,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,2, ,1,3,1,4,2,1,1,1,1,1,3,3,3,3, ,1,1,9,5,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,1
